TimeAsCustomer,DriverAge,InsuranceAccess,InsurancePremium,DriverGender,EducationLevel,AccidentType,IncidentSeverity,AuthoritiesInvolved,IncidentTime,NumVehiclesInvolved,NumBodilyInjuries,PoliceReportBool,TotalClaimAmount,VehicleYear,Fraud,VehicleAge,DriverExperience,LicenceType
217.0,41.0,2000.0,875.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Police,15.0,3.0,1.0,0.0,37840.0,1996.0,0.0,19.0,20.0,Full
37.0,23.0,500.0,1476.0,1.0,College,Multi-vehicle Collision,Minor Damage,Other,17.0,3.0,1.0,-0.0,51660.0,2010.0,-0.0,5.0,7.0,Full
235.0,42.0,500.0,1253.0,1.0,Masters,Single Vehicle Collision,Total Loss,Police,22.0,1.0,2.0,-0.0,87010.0,2002.0,-0.0,13.0,22.0,Full
147.0,33.0,1000.0,1334.0,0.0,High School,Single Vehicle Collision,Major Damage,Other,15.0,1.0,2.0,1.0,53100.0,1995.0,1.0,20.0,17.0,Full
8.0,35.0,2000.0,1267.0,-0.0,Masters,Multi-vehicle Collision,Major Damage,Other,16.0,3.0,1.0,1.0,71500.0,2006.0,1.0,9.0,18.0,Full
228.0,42.0,2000.0,1197.0,-0.0,MD,Vehicle Theft,Minor Damage,Police,8.0,1.0,-0.0,-0.0,5070.0,2007.0,1.0,8.0,21.0,Full
289.0,49.0,2000.0,1222.0,1.0,JD,Parked Car,Minor Damage,,16.0,1.0,1.0,1.0,5330.0,2001.0,-0.0,14.0,30.0,Full
166.0,37.0,2000.0,1337.0,-0.0,JD,Multi-vehicle Collision,Major Damage,Police,10.0,3.0,2.0,0.0,67140.0,2006.0,1.0,9.0,15.0,Full
106.0,30.0,500.0,538.0,1.0,PhD,Single Vehicle Collision,Total Loss,Other,23.0,1.0,2.0,0.0,51120.0,2005.0,0.0,10.0,13.0,Full
62.0,28.0,1000.0,988.0,1.0,Masters,Single Vehicle Collision,Total Loss,Police,3.0,1.0,1.0,1.0,60200.0,2004.0,1.0,11.0,11.0,Full
460.0,62.0,1000.0,1188.0,-0.0,JD,Multi-vehicle Collision,Minor Damage,Police,20.0,3.0,1.0,0.0,47160.0,2011.0,0.0,4.0,45.0,Full
269.0,44.0,2000.0,1081.0,-0.0,JD,Single Vehicle Collision,Minor Damage,Other,14.0,1.0,-0.0,-0.0,56400.0,2014.0,-0.0,1.0,27.0,Full
