TimeAsCustomer,DriverAge,policy_number,policy_bind_date,policy_state,policy_csl,InsuranceAccess,InsurancePremium,umbrella_limit,insured_zip,DriverGender,EducationLevel,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,AccidentType,collision_type,IncidentSeverity,AuthoritiesInvolved,incident_state,incident_city,incident_location,IncidentTime,NumVehiclesInvolved,property_damage,NumBodilyInjuries,witnesses,PoliceReportBool,TotalClaimAmount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,VehicleYear,Fraud,_c39
134,29,687698,2000-09-06,OH,100/300,2000,1413,5000000,430632,FEMALE,PhD,sales,board-games,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,N,
228,44,367455,2014-06-06,IL,500/1000,1000,1584,6000000,610706,MALE,Associate,sales,board-games,unmarried,66000,-46000,2015-02-17,Vehicle Theft,,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N,
137,34,413978,2000-06-04,IN,250/500,1000,1333,0,441716,MALE,PhD,prof-specialty,board-games,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,NO,0,0,NO,78650,21450,7150,50050,Nissan,Pathfinder,2012,N,
165,37,429027,1990-02-03,IL,100/300,1000,1137,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,NO,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,N,
27,33,485665,1997-02-05,IL,100/300,500,1443,0,601734,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N,
212,42,636550,2011-07-25,IL,100/300,500,1316,0,600983,MALE,PhD,priv-house-serv,camping,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,NO,42300,4700,4700,32900,Saab,92x,1996,N,
235,42,543610,2002-05-26,OH,100/300,500,1253,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,NO,87010,7910,15820,63280,Ford,F150,2002,N,
447,61,214618,1999-05-29,OH,100/300,2000,1137,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N,
60,23,842643,1997-11-20,OH,500/1000,500,1215,3000000,432220,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N,
121,34,626808,2012-10-26,OH,100/300,1000,937,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,
70,26,558938,2005-06-08,OH,500/1000,1000,1199,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,NO,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,
